onet_soc_code,onet_soc_title,nem_code,nem_title,ooh_profile_code,ooh_profile_title,ooh_profile_website,onet_soc_norm
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, storage, and distribution managers",B404,"Transportation, storage, and distribution managers",https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm,11-3071
11-3071.04,Supply Chain Managers,11-3071,"Transportation, storage, and distribution managers",B404,"Transportation, storage, and distribution managers",https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm,11-3071
11-3111.00,Compensation and Benefits Managers,11-3111,Compensation and benefits managers,B023,Compensation and benefits managers,https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,11-3111
11-3121.00,Human Resources Managers,11-3121,Human resources managers,B025,Human resources managers,https://www.bls.gov/ooh/management/human-resources-managers.htm,11-3121
11-3131.00,Training and Development Managers,11-3131,Training and development managers,B024,Training and development managers,https://www.bls.gov/ooh/management/training-and-development-managers.htm,11-3131
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, ranchers, and other agricultural managers",B027,"Farmers, ranchers, and other agricultural managers",https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,11-9013
11-9021.00,Construction Managers,11-9021,Construction managers,B028,Construction managers,https://www.bls.gov/ooh/management/construction-managers.htm,11-9021
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",11-9031,"Education and childcare administrators, preschool and daycare",B029,Preschool and childcare center directors,https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,11-9031
11-9032.00,"Education Administrators, Kindergarten through Secondary",11-9032,"Education administrators, kindergarten through secondary",B030,"Elementary, middle, and high school principals",https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm,11-9032
11-9033.00,"Education Administrators, Postsecondary",11-9033,"Education administrators, postsecondary",B031,Postsecondary education administrators,https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,11-9033
11-9039.00,"Education Administrators, All Other",11-9039,"Education administrators, all other",—,,,11-9039
11-9041.00,Architectural and Engineering Managers,11-9041,Architectural and engineering managers,B032,Architectural and engineering managers,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,11-9041
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041,Architectural and engineering managers,B032,Architectural and engineering managers,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,11-9041
11-9051.00,Food Service Managers,11-9051,Food service managers,B033,Food service managers,https://www.bls.gov/ooh/management/food-service-managers.htm,11-9051
11-9071.00,Gambling Managers,11-9071,Gambling managers,B228,Gambling services workers,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,11-9071
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072,"Entertainment and recreation managers, except gambling",B401,Entertainment and recreation managers,https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm,11-9072
11-9081.00,Lodging Managers,11-9081,Lodging managers,B034,Lodging managers,https://www.bls.gov/ooh/management/lodging-managers.htm,11-9081
11-9111.00,Medical and Health Services Managers,11-9111,Medical and health services managers,B035,Medical and health services managers,https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm,11-9111
11-9121.00,Natural Sciences Managers,11-9121,Natural sciences managers,B036,Natural sciences managers,https://www.bls.gov/ooh/management/natural-sciences-managers.htm,11-9121
11-9121.01,Clinical Research Coordinators,11-9121,Natural sciences managers,B036,Natural sciences managers,https://www.bls.gov/ooh/management/natural-sciences-managers.htm,11-9121
11-9121.02,Water Resource Specialists,11-9121,Natural sciences managers,B036,Natural sciences managers,https://www.bls.gov/ooh/management/natural-sciences-managers.htm,11-9121
11-9131.00,Postmasters and Mail Superintendents,11-9131,Postmasters and mail superintendents,—,,,11-9131
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141,"Property, real estate, and community association managers",B037,"Property, real estate, and community association managers",https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm,11-9141
11-9151.00,Social and Community Service Managers,11-9151,Social and community service managers,B038,Social and community service managers,https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,11-9151
11-9161.00,Emergency Management Directors,11-9161,Emergency management directors,B040,Emergency management directors,https://www.bls.gov/ooh/management/emergency-management-directors.htm,11-9161
11-9171.00,Funeral Home Managers,11-9171,Funeral home managers,B001,Funeral service workers,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,11-9171
11-9179.00,"Personal Service Managers, All Other",11-9179,"Personal service managers, all other",—,,,11-9179
11-9179.01,Fitness and Wellness Coordinators,11-9179,"Personal service managers, all other",—,,,11-9179
11-9179.02,Spa Managers,11-9179,"Personal service managers, all other",—,,,11-9179
11-9199.00,"Managers, All Other",11-9199,"Managers, all other",—,,,11-9199
11-9199.01,Regulatory Affairs Managers,11-9199,"Managers, all other",—,,,11-9199
11-9199.02,Compliance Managers,11-9199,"Managers, all other",—,,,11-9199
11-9199.08,Loss Prevention Managers,11-9199,"Managers, all other",—,,,11-9199
11-9199.09,Wind Energy Operations Managers,11-9199,"Managers, all other",—,,,11-9199
11-9199.10,Wind Energy Development Managers,11-9199,"Managers, all other",—,,,11-9199
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199,"Managers, all other",—,,,11-9199
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and business managers of artists, performers, and athletes",—,,,13-1011
13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1020,Buyers and purchasing agents,B324,"Purchasing managers, buyers, and purchasing agents",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,13-1021
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1020,Buyers and purchasing agents,B324,"Purchasing managers, buyers, and purchasing agents",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,13-1022
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1020,Buyers and purchasing agents,B324,"Purchasing managers, buyers, and purchasing agents",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,13-1023
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031,"Claims adjusters, examiners, and investigators",B042,"Claims adjusters, appraisers, examiners, and investigators",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,13-1031
13-1032.00,"Insurance Appraisers, Auto Damage",13-1032,"Insurance appraisers, auto damage",B042,"Claims adjusters, appraisers, examiners, and investigators",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,13-1032
13-1041.00,Compliance Officers,13-1041,Compliance officers,B405,Compliance officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,13-1041
13-1041.01,Environmental Compliance Inspectors,13-1041,Compliance officers,B405,Compliance officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,13-1041
13-1041.03,Equal Opportunity Representatives and Officers,13-1041,Compliance officers,B405,Compliance officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,13-1041
13-1041.04,Government Property Inspectors and Investigators,13-1041,Compliance officers,B405,Compliance officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,13-1041
13-1041.06,Coroners,13-1041,Compliance officers,B405,Compliance officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,13-1041
13-1041.07,Regulatory Affairs Specialists,13-1041,Compliance officers,B405,Compliance officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,13-1041
13-1041.08,Customs Brokers,13-1041,Compliance officers,B405,Compliance officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,13-1041
13-1051.00,Cost Estimators,13-1051,Cost estimators,B043,Cost estimators,https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm,13-1051
13-1071.00,Human Resources Specialists,13-1071,Human resources specialists,B041,Human resources specialists,https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,13-1071
13-1074.00,Farm Labor Contractors,13-1074,Farm labor contractors,—,,,13-1074
13-1075.00,Labor Relations Specialists,13-1075,Labor relations specialists,B394,Labor relations specialists,https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,13-1075
13-1081.00,Logisticians,13-1081,Logisticians,B329,Logisticians,https://www.bls.gov/ooh/business-and-financial/logisticians.htm,13-1081
13-1081.01,Logistics Engineers,13-1081,Logisticians,B329,Logisticians,https://www.bls.gov/ooh/business-and-financial/logisticians.htm,13-1081
13-1081.02,Logistics Analysts,13-1081,Logisticians,B329,Logisticians,https://www.bls.gov/ooh/business-and-financial/logisticians.htm,13-1081
13-1082.00,Project Management Specialists,13-1082,Project management specialists,B396,Project management specialists,https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm,13-1082
13-1111.00,Management Analysts,13-1111,Management analysts,B045,Management analysts,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,13-1111
13-1121.00,"Meeting, Convention, and Event Planners",13-1121,"Meeting, convention, and event planners",B046,"Meeting, convention, and event planners",https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,13-1121
13-1131.00,Fundraisers,13-1131,Fundraisers,B393,Fundraisers,https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,13-1131
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141,"Compensation, benefits, and job analysis specialists",B050,"Compensation, benefits, and job analysis specialists",https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,13-1141
13-1151.00,Training and Development Specialists,13-1151,Training and development specialists,B091,Training and development specialists,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,13-1151
13-1161.00,Market Research Analysts and Marketing Specialists,13-1161,Market research analysts and marketing specialists,B103,Market research analysts,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,13-1161
13-1161.01,Search Marketing Strategists,13-1161,Market research analysts and marketing specialists,B103,Market research analysts,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,13-1161
13-1199.00,"Business Operations Specialists, All Other",13-1199,"Business operations specialists, all other",—,,,13-1199
13-1199.04,Business Continuity Planners,13-1199,"Business operations specialists, all other",—,,,13-1199
13-1199.05,Sustainability Specialists,13-1199,"Business operations specialists, all other",—,,,13-1199
13-1199.06,Online Merchants,13-1199,"Business operations specialists, all other",—,,,13-1199
13-1199.07,Security Management Specialists,13-1199,"Business operations specialists, all other",—,,,13-1199
13-2011.00,Accountants and Auditors,13-2011,Accountants and auditors,B047,Accountants and auditors,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,13-2011
13-2022.00,Appraisers of Personal and Business Property,13-2020,Property appraisers and assessors,B048,Property appraisers and assessors,https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,13-2022
13-2023.00,Appraisers and Assessors of Real Estate,13-2020,Property appraisers and assessors,B048,Property appraisers and assessors,https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,13-2023
13-2031.00,Budget Analysts,13-2031,Budget analysts,B049,Budget analysts,https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,13-2031
13-2041.00,Credit Analysts,13-2041,Credit analysts,—,,,13-2041
13-2051.00,Financial and Investment Analysts,13-2051,Financial and investment analysts,B051,Financial analysts,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,13-2051
13-2052.00,Personal Financial Advisors,13-2052,Personal financial advisors,B052,Personal financial advisors,https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm,13-2052
13-2053.00,Insurance Underwriters,13-2053,Insurance underwriters,B002,Insurance underwriters,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,13-2053
13-2054.00,Financial Risk Specialists,13-2054,Financial risk specialists,B051,Financial analysts,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,13-2054
13-2061.00,Financial Examiners,13-2061,Financial examiners,B053,Financial examiners,https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,13-2061
13-2071.00,Credit Counselors,13-2071,Credit counselors,B406,Credit counselors,https://www.bls.gov/ooh/business-and-financial/credit-counselors.htm,13-2071
13-2072.00,Loan Officers,13-2072,Loan officers,B054,Loan officers,https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,13-2072
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2081,"Tax examiners and collectors, and revenue agents",B055,"Tax examiners and collectors, and revenue agents",https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm,13-2081
13-2082.00,Tax Preparers,13-2082,Tax preparers,—,,,13-2082
13-2099.00,"Financial Specialists, All Other",13-2099,"Financial specialists, all other",—,,,13-2099
13-2099.01,Financial Quantitative Analysts,13-2099,"Financial specialists, all other",—,,,13-2099
13-2099.04,"Fraud Examiners, Investigators and Analysts",13-2099,"Financial specialists, all other",—,,,13-2099
15-1211.00,Computer Systems Analysts,15-1211,Computer systems analysts,B059,Computer systems analysts,https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,15-1211
15-1211.01,Health Informatics Specialists,15-1211,Computer systems analysts,B059,Computer systems analysts,https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,15-1211
15-1212.00,Information Security Analysts,15-1212,Information security analysts,B062,Information security analysts,https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm,15-1212
15-1221.00,Computer and Information Research Scientists,15-1221,Computer and information research scientists,B003,Computer and information research scientists,https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,15-1221
15-1231.00,Computer Network Support Specialists,15-1231,Computer network support specialists,B058,Computer support specialists,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,15-1231
15-1232.00,Computer User Support Specialists,15-1232,Computer user support specialists,B058,Computer support specialists,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,15-1232
15-1241.00,Computer Network Architects,15-1241,Computer network architects,B118,Computer network architects,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,15-1241
15-1241.01,Telecommunications Engineering Specialists,15-1241,Computer network architects,B118,Computer network architects,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,15-1241
15-1242.00,Database Administrators,15-1242,Database administrators,B060,Database administrators and architects,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,15-1242
15-1243.00,Database Architects,15-1243,Database architects,B060,Database administrators and architects,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,15-1243
15-1243.01,Data Warehousing Specialists,15-1243,Database architects,B060,Database administrators and architects,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,15-1243
15-1244.00,Network and Computer Systems Administrators,15-1244,Network and computer systems administrators,B061,Network and computer systems administrators,https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm,15-1244
15-1251.00,Computer Programmers,15-1251,Computer programmers,B056,Computer programmers,https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm,15-1251
15-1252.00,Software Developers,15-1252,Software developers,B057,"Software developers, quality assurance analysts, and testers",https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,15-1252
15-1253.00,Software Quality Assurance Analysts and Testers,15-1253,Software quality assurance analysts and testers,B057,"Software developers, quality assurance analysts, and testers",https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,15-1253
15-1254.00,Web Developers,15-1254,Web developers,B092,Web developers and digital designers,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,15-1254
15-1255.00,Web and Digital Interface Designers,15-1255,Web and digital interface designers,B092,Web developers and digital designers,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,15-1255
15-1255.01,Video Game Designers,15-1255,Web and digital interface designers,B092,Web developers and digital designers,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,15-1255
15-1299.00,"Computer Occupations, All Other",15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.01,Web Administrators,15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.02,Geographic Information Systems Technologists and Technicians,15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.03,Document Management Specialists,15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.04,Penetration Testers,15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.05,Information Security Engineers,15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.06,Digital Forensics Analysts,15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.07,Blockchain Engineers,15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.08,Computer Systems Engineers/Architects,15-1299,"Computer occupations, all other",—,,,15-1299
15-1299.09,Information Technology Project Managers,15-1299,"Computer occupations, all other",—,,,15-1299
15-2011.00,Actuaries,15-2011,Actuaries,B063,Actuaries,https://www.bls.gov/ooh/math/actuaries.htm,15-2011
15-2021.00,Mathematicians,15-2021,Mathematicians,B004,Mathematicians and statisticians,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,15-2021
15-2031.00,Operations Research Analysts,15-2031,Operations research analysts,B064,Operations research analysts,https://www.bls.gov/ooh/math/operations-research-analysts.htm,15-2031
15-2041.00,Statisticians,15-2041,Statisticians,B004,Mathematicians and statisticians,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,15-2041
15-2041.01,Biostatisticians,15-2041,Statisticians,B004,Mathematicians and statisticians,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,15-2041
15-2051.00,Data Scientists,15-2051,Data scientists,B397,Data scientists,https://www.bls.gov/ooh/math/data-scientists.htm,15-2051
15-2051.01,Business Intelligence Analysts,15-2051,Data scientists,B397,Data scientists,https://www.bls.gov/ooh/math/data-scientists.htm,15-2051
15-2051.02,Clinical Data Managers,15-2051,Data scientists,B397,Data scientists,https://www.bls.gov/ooh/math/data-scientists.htm,15-2051
15-2099.00,"Mathematical Science Occupations, All Other",15-2099,"Mathematical science occupations, all other",—,,,15-2099
15-2099.01,Bioinformatics Technicians,15-2099,"Mathematical science occupations, all other",—,,,15-2099
17-1011.00,"Architects, Except Landscape and Naval",17-1011,"Architects, except landscape and naval",B066,Architects,https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,17-1011
17-1012.00,Landscape Architects,17-1012,Landscape architects,B067,Landscape architects,https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,17-1012
17-1021.00,Cartographers and Photogrammetrists,17-1021,Cartographers and photogrammetrists,B068,Cartographers and photogrammetrists,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,17-1021
17-1022.00,Surveyors,17-1022,Surveyors,B069,Surveyors,https://www.bls.gov/ooh/architecture-and-engineering/surveyors.htm,17-1022
17-1022.01,Geodetic Surveyors,17-1022,Surveyors,B069,Surveyors,https://www.bls.gov/ooh/architecture-and-engineering/surveyors.htm,17-1022
17-2011.00,Aerospace Engineers,17-2011,Aerospace engineers,B070,Aerospace engineers,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,17-2011
17-2021.00,Agricultural Engineers,17-2021,Agricultural engineers,B332,Agricultural engineers,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,17-2021
17-2031.00,Bioengineers and Biomedical Engineers,17-2031,Bioengineers and biomedical engineers,B071,Bioengineers and biomedical engineers,https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,17-2031
17-2041.00,Chemical Engineers,17-2041,Chemical engineers,B072,Chemical engineers,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,17-2041
17-2051.00,Civil Engineers,17-2051,Civil engineers,B073,Civil engineers,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,17-2051
17-2051.01,Transportation Engineers,17-2051,Civil engineers,B073,Civil engineers,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,17-2051
17-2051.02,Water/Wastewater Engineers,17-2051,Civil engineers,B073,Civil engineers,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,17-2051
17-2061.00,Computer Hardware Engineers,17-2061,Computer hardware engineers,B074,Computer hardware engineers,https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm,17-2061
17-2071.00,Electrical Engineers,17-2071,Electrical engineers,B075,Electrical and electronics engineers,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,17-2071
17-2072.00,"Electronics Engineers, Except Computer",17-2072,"Electronics engineers, except computer",B075,Electrical and electronics engineers,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,17-2072
17-2072.01,Radio Frequency Identification Device Specialists,17-2072,"Electronics engineers, except computer",B075,Electrical and electronics engineers,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,17-2072
17-2081.00,Environmental Engineers,17-2081,Environmental engineers,B076,Environmental engineers,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,17-2081
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,"Health and safety engineers, except mining safety engineers and inspectors",B333,Health and safety engineers,https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,17-2111
17-2111.02,Fire-Prevention and Protection Engineers,17-2111,"Health and safety engineers, except mining safety engineers and inspectors",B333,Health and safety engineers,https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,17-2111
17-2112.00,Industrial Engineers,17-2112,Industrial engineers,B077,Industrial engineers,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,17-2112
17-2112.01,Human Factors Engineers and Ergonomists,17-2112,Industrial engineers,B077,Industrial engineers,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,17-2112
17-2112.02,Validation Engineers,17-2112,Industrial engineers,B077,Industrial engineers,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,17-2112
17-2112.03,Manufacturing Engineers,17-2112,Industrial engineers,B077,Industrial engineers,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,17-2112
17-2121.00,Marine Engineers and Naval Architects,17-2121,Marine engineers and naval architects,B078,Marine engineers and naval architects,https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm,17-2121
17-2131.00,Materials Engineers,17-2131,Materials engineers,B079,Materials engineers,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,17-2131
17-2141.00,Mechanical Engineers,17-2141,Mechanical engineers,B080,Mechanical engineers,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,17-2141
17-2141.01,Fuel Cell Engineers,17-2141,Mechanical engineers,B080,Mechanical engineers,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,17-2141
17-2141.02,Automotive Engineers,17-2141,Mechanical engineers,B080,Mechanical engineers,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,17-2141
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,"Mining and geological engineers, including mining safety engineers",B081,Mining and geological engineers,https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,17-2151
17-2161.00,Nuclear Engineers,17-2161,Nuclear engineers,B082,Nuclear engineers,https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,17-2161
17-2171.00,Petroleum Engineers,17-2171,Petroleum engineers,B083,Petroleum engineers,https://www.bls.gov/ooh/architecture-and-engineering/petroleum-engineers.htm,17-2171
17-2199.00,"Engineers, All Other",17-2199,"Engineers, all other",—,,,17-2199
17-2199.03,"Energy Engineers, Except Wind and Solar",17-2199,"Engineers, all other",—,,,17-2199
17-2199.05,Mechatronics Engineers,17-2199,"Engineers, all other",—,,,17-2199
17-2199.06,Microsystems Engineers,17-2199,"Engineers, all other",—,,,17-2199
17-2199.07,Photonics Engineers,17-2199,"Engineers, all other",—,,,17-2199
17-2199.08,Robotics Engineers,17-2199,"Engineers, all other",—,,,17-2199
17-2199.09,Nanosystems Engineers,17-2199,"Engineers, all other",—,,,17-2199
17-2199.10,Wind Energy Engineers,17-2199,"Engineers, all other",—,,,17-2199
17-2199.11,Solar Energy Systems Engineers,17-2199,"Engineers, all other",—,,,17-2199
