source_path,sheet_name,header_row,row_count,column_count,columns
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1,0,782,4,"figure_1_occupation_score_variance_vs_exposure, unnamed_1, unnamed_2, unnamed_3"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F2,0,27,4,"figure_2_occupation_score_variance_vs_exposure, unnamed_1, unnamed_3, unnamed_4"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F3,0,10,4,"figure_3_variance_and_exposure_by_salary_quintile, unnamed_1, unnamed_3, unnamed_4"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F4,0,10,4,"figure_4_variance_and_exposure_by_salary_quintile, unnamed_1, unnamed_3, unnamed_4"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,TA1,0,11,2,"table_a1_pca_weights_for_ai_exposure_metrics, unnamed_1"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,TA2,0,10,2,"table_a2_pca_weights_for_ai_exposure_metrics, unnamed_1"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,FA1,0,783,6,"figure_a1_two_model_specifications, unnamed_1, unnamed_2, unnamed_4, unnamed_5, unnamed_6"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,TA3,0,9,8,"table_a3_univariate_regression_results, unnamed_1, unnamed_2, unnamed_3, unnamed_4, unnamed_5, unnamed_6, unnamed_7"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,FA4,0,782,7,"figure_a4_kernel_density_plots_against_dv_rating_beta, unnamed_1, unnamed_2, unnamed_3, unnamed_4, unnamed_5, unnamed_6"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,FA4 Alt,0,544,7,"figure_a4_kernel_density_plots_against_dv_rating_beta, unnamed_1, unnamed_2, unnamed_3, unnamed_4, unnamed_5, unnamed_6"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,FA5,0,782,8,"figure_a5_kernel_density_plots_against_standardized_pca_score, unnamed_1, unnamed_2, unnamed_3, unnamed_4, unnamed_5, unnamed_6, unnamed_7"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,FA5 Alt,0,544,8,"figure_a5_kernel_density_plots_against_standardized_pca_score, unnamed_1, unnamed_2, unnamed_3, unnamed_4, unnamed_5, unnamed_6, unnamed_7"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,TA4,0,11,3,"table_a4_multivariate_regression_results, unnamed_1, unnamed_2"
E:\code\karpathyjobs\data\source\comparison\soc_2010_to_2018_crosswalk.xlsx,Sorted by 2010,0,904,4,"u_s_bureau_of_labor_statistics, unnamed_1, unnamed_2, unnamed_3"
E:\code\karpathyjobs\data\source\comparison\nem_onet_to_soc_crosswalk.xlsx,ONET to SOC crosswalk,0,1001,10,"bureau_of_labor_statistics_o_net_soc_to_national_employment_matrix_nem_and_occupational_outlook_handbook_ooh_coverage_crosswalk, unnamed_1, unnamed_2, unnamed_3, unnamed_4, unnamed_5, unnamed_6, unnamed_7, unnamed_8, unnamed_9"
E:\code\karpathyjobs\data\source\comparison\nem_onet_to_soc_crosswalk.xlsx,Definitions,0,10,2,"o_net_soc_codes_come_from_the_o_net_soc_2019_taxonomy, unnamed_1"
E:\code\karpathyjobs\data\source\comparison\nem_occupational_coverage.xlsx,2024-34 Occupational Directory,0,1116,5,"bureau_of_labor_statistics_national_employment_matrix_occupation_coverage, unnamed_1, unnamed_2, unnamed_3, unnamed_4"
E:\code\karpathyjobs\data\source\comparison\nem_occupational_coverage.xlsx,Definitions,0,6,2,"national_employment_matrix_occupation_codes_match_those_published_by_the_occupational_employment_and_wage_statistics_oews_program, unnamed_1"
